A路计数,B路计数,AB符合计数,归一化功率(μW),归一化后符合计数,,红光波长：794.97000nm  PPKTP温度：40.86℃  紫光功率：5mW  计数时间：10s  符合窗口：1ns  AB路延时：64.8ns
9497087,2551,8,546.772,14.63132713,,
9451791,3278,144,431.839,333.457608,,
9479974,3574,193,356.32,541.6479569,,
9492788,3558,209,484.864,431.0487064,,
9458852,2557,12,577.88,20.76555686,,
9474522,3357,192,498.749,384.9631779,,
9454988,4440,381,507.63,750.546658,,
9430996,3419,175,339.818,514.9815489,,
9419887,3212,128,349.226,366.5248292,,
9471949,4902,446,552.816,806.7783856,,
9477492,2470,4,450.469,8.879634337,,
9486437,3216,144,416.446,345.7831267,,
9432947,3203,133,344.911,385.6067217,,
9409321,2439,7,395.019,17.7206666,,
9493510,4435,378,476.854,792.6954581,,
9482241,4604,357,760.669,469.3237137,,
9409198,3295,164,404.192,405.7477634,,
9474865,2401,7,463.578,15.09994003,,
9447802,2540,14,415.662,33.68121214,,
9423337,3500,172,739.967,232.4427981,,
9360015,3140,136,490.254,277.4072216,,
9233426,3345,143,177.163,807.1662819,,
9182204,3864,232,391.757,592.2038406,,
9087451,3614,203,430.735,471.2874505,,
9050533,2427,18,551.546,32.6355372,,
9130535,2942,110,378.477,290.6385329,,
